2024-04-21 17:51:31.467: Tri-GFN(
  (ae): AE(
    (enc_1): Linear(in_features=2000, out_features=500, bias=True)
    (enc_2): Linear(in_features=500, out_features=500, bias=True)
    (enc_3): Linear(in_features=500, out_features=2000, bias=True)
    (z_layer): Linear(in_features=2000, out_features=20, bias=True)
    (dec_1): Linear(in_features=20, out_features=2000, bias=True)
    (dec_2): Linear(in_features=2000, out_features=500, bias=True)
    (dec_3): Linear(in_features=500, out_features=500, bias=True)
    (x_bar_layer): Linear(in_features=500, out_features=2000, bias=True)
    (act): LeakyReLU(negative_slope=0.2, inplace=True)
  )
  (gcn_1): GCNLayer(
    (conv): TransformerConv(2000, 500, heads=1)
  )
  (gcn_2): GCNLayer(
    (conv): TransformerConv(500, 500, heads=1)
  )
  (gcn_3): GCNLayer(
    (conv): TransformerConv(500, 2000, heads=1)
  )
  (gcn_4): GCNLayer(
    (conv): TransformerConv(2000, 20, heads=1)
  )
  (gcn_fc): GCNLayer(
    (conv): TransformerConv(20, 4, heads=1)
  )
  (gcn_5): GCNLayer(
    (conv): TransformerConv(20, 2000, heads=1)
  )
  (gcn_6): GCNLayer(
    (conv): TransformerConv(2000, 500, heads=1)
  )
  (gcn_7): GCNLayer(
    (conv): TransformerConv(500, 500, heads=1)
  )
  (gcn_8): GCNLayer(
    (conv): TransformerConv(500, 2000, heads=1)
  )
  (gnn_1): GCNLayer(
    (conv): GCNConv(2000, 500)
  )
  (gnn_2): GCNLayer(
    (conv): GCNConv(500, 500)
  )
  (gnn_3): GCNLayer(
    (conv): GCNConv(500, 2000)
  )
  (gnn_4): GCNLayer(
    (conv): GCNConv(2000, 20)
  )
  (gae_fc): GCNLayer(
    (conv): GCNConv(20, 4)
  )
  (gnn_5): GCNLayer(
    (conv): GCNConv(20, 2000)
  )
  (gnn_6): GCNLayer(
    (conv): GCNConv(2000, 500)
  )
  (gnn_7): GCNLayer(
    (conv): GCNConv(500, 500)
  )
  (gnn_8): GCNLayer(
    (conv): GCNConv(500, 2000)
  )
  (s): Sigmoid()
)
2024-04-21 17:51:31.468: Namespace(name='reut', cuda=True, n_z=20, alpha=0.1, beta=0.05, lr=0.0001, n_clusters=4, n_input=2000)
2024-04-21 17:51:31.468: metrics:	 acc	 nmi	 ari	 f1
2024-04-21 17:51:31.739: Initialization: 0.7936	0.5100	0.5926	0.7108
2024-04-21 17:51:32.544: epoch0 Q1:	0.7936	0.5100	0.5926	0.7108
2024-04-21 17:51:32.996: epoch1 Q1:	0.7948	0.5106	0.5947	0.7114
2024-04-21 17:51:33.407: epoch2 Q1:	0.7945	0.5080	0.5932	0.7109
2024-04-21 17:51:33.723: epoch3 Q1:	0.7938	0.5061	0.5914	0.7096
2024-04-21 17:51:34.038: epoch4 Q1:	0.7935	0.5054	0.5905	0.7093
2024-04-21 17:51:34.352: epoch5 Q1:	0.7930	0.5044	0.5895	0.7090
2024-04-21 17:51:34.668: epoch6 Q1:	0.7928	0.5041	0.5891	0.7088
2024-04-21 17:51:34.985: epoch7 Q1:	0.7931	0.5051	0.5900	0.7091
2024-04-21 17:51:35.299: epoch8 Q1:	0.7927	0.5046	0.5893	0.7088
2024-04-21 17:51:35.615: epoch9 Q1:	0.7930	0.5051	0.5902	0.7090
2024-04-21 17:51:35.931: epoch10 Q1:	0.7936	0.5063	0.5915	0.7096
2024-04-21 17:51:36.245: epoch11 Q1:	0.7936	0.5066	0.5917	0.7096
2024-04-21 17:51:36.561: epoch12 Q1:	0.7943	0.5078	0.5931	0.7102
2024-04-21 17:51:36.877: epoch13 Q1:	0.7944	0.5082	0.5931	0.7104
2024-04-21 17:51:37.193: epoch14 Q1:	0.7949	0.5091	0.5940	0.7109
2024-04-21 17:51:37.606: epoch15 Q1:	0.7954	0.5107	0.5949	0.7114
2024-04-21 17:51:38.021: epoch16 Q1:	0.7958	0.5116	0.5957	0.7118
2024-04-21 17:51:38.437: epoch17 Q1:	0.7963	0.5125	0.5967	0.7122
2024-04-21 17:51:38.849: epoch18 Q1:	0.7964	0.5120	0.5963	0.7123
2024-04-21 17:51:39.265: epoch19 Q1:	0.7972	0.5138	0.5978	0.7130
2024-04-21 17:51:39.678: epoch20 Q1:	0.7975	0.5147	0.5984	0.7132
2024-04-21 17:51:40.091: epoch21 Q1:	0.7974	0.5145	0.5980	0.7131
2024-04-21 17:51:40.406: epoch22 Q1:	0.7977	0.5152	0.5989	0.7133
2024-04-21 17:51:40.823: epoch23 Q1:	0.7980	0.5157	0.5993	0.7136
