2024-04-21 18:03:22.169: Namespace(name='usps', cuda=True, n_z=10, alpha=0.1, beta=0.05, lr=0.001, n_clusters=10, n_input=256)				
2024-04-21 18:03:22.169: metrics:	 acc	 nmi	 ari	 f1
2024-04-21 18:03:22.545: Initialization: 0.7364	0.7063	0.6359	0.7233	0.7063
2024-04-21 18:03:23.362: epoch0 Q1:	0.7364	0.7063	0.6359	0.7233
2024-04-21 18:03:23.750: epoch1 Q1:	0.6765	0.6495	0.5633	0.671
2024-04-21 18:03:24.059: epoch2 Q1:	0.7164	0.68	0.6085	0.7033
2024-04-21 18:03:24.366: epoch3 Q1:	0.7347	0.695	0.6205	0.7174
2024-04-21 18:03:24.673: epoch4 Q1:	0.7417	0.6975	0.6204	0.7218
2024-04-21 18:03:25.043: epoch5 Q1:	0.7408	0.6961	0.6171	0.7213
2024-04-21 18:03:25.351: epoch6 Q1:	0.7345	0.6917	0.6094	0.7173
2024-04-21 18:03:25.661: epoch7 Q1:	0.7298	0.6881	0.6038	0.7135
2024-04-21 18:03:25.971: epoch8 Q1:	0.7327	0.6906	0.6096	0.715
2024-04-21 18:03:26.280: epoch9 Q1:	0.7316	0.69	0.6101	0.7133
2024-04-21 18:03:26.589: epoch10 Q1:	0.7327	0.693	0.614	0.7147
2024-04-21 18:03:26.895: epoch11 Q1:	0.7257	0.6886	0.6085	0.7102
2024-04-21 18:03:27.204: epoch12 Q1:	0.7237	0.689	0.6102	0.7091
2024-04-21 18:03:27.512: epoch13 Q1:	0.7237	0.6896	0.6111	0.7095
2024-04-21 18:03:27.820: epoch14 Q1:	0.7199	0.6822	0.6024	0.7057
2024-04-21 18:03:28.129: epoch15 Q1:	0.7195	0.6806	0.6003	0.7048
2024-04-21 18:03:28.438: epoch16 Q1:	0.7204	0.6811	0.6027	0.7058
2024-04-21 18:03:28.746: epoch17 Q1:	0.7183	0.6802	0.6034	0.7048
2024-04-21 18:03:29.056: epoch18 Q1:	0.7196	0.6812	0.6054	0.7059
2024-04-21 18:03:29.365: epoch19 Q1:	0.7192	0.6816	0.6057	0.7059
2024-04-21 18:03:29.674: epoch20 Q1:	0.7159	0.6768	0.6005	0.7035
2024-04-21 18:03:29.982: epoch21 Q1:	0.7156	0.6762	0.5992	0.7027
2024-04-21 18:03:30.290: epoch22 Q1:	0.7198	0.6797	0.6032	0.7057
2024-04-21 18:03:30.600: epoch23 Q1:	0.7204	0.68	0.6042	0.7066
2024-04-21 18:03:30.910: epoch24 Q1:	0.7195	0.6784	0.6032	0.7062
